10-digit PSGC,Name,Correspondence Code,Geographic Level,Old names,City Class,"Income
Classification","Urban / Rural
(based on 2020 CPH)",2015 Population,,2020 Population,
0100000000,Region I (Ilocos Region),010000000,Reg,,,,,5026128,,5301139,
0102800000,Ilocos Norte,012800000,Prov,,,1st,,593081,,609588,
0102801000,Adams,012801000,Mun,,,5th,,1792,,2189,
0102801001,Adams,012801001,Bgy,,,,R,1792,,2189,
0102802000,Bacarra,012802000,Mun,,,3rd,,32215,,33496,
0102802001,Bani,012802001,Bgy,,,,R,853,,1079,
0102802002,Buyon,012802002,Bgy,,,,R,1596,,1669,
0102802003,Cabaruan,012802003,Bgy,,,,R,1413,,1418,
0102802004,Cabulalaan,012802004,Bgy,,,,R,733,,733,
0102802005,Cabusligan,012802005,Bgy,,,,R,1038,,1170,
0102802006,Cadaratan,012802006,Bgy,,,,R,1192,,1212,
0102802007,Calioet-Libong,012802007,Bgy,,,,R,823,,827,
0102802008,Casilian,012802008,Bgy,,,,R,992,,1061,
0102802009,Corocor,012802009,Bgy,,,,R,814,,867,
0102802011,Duripes,012802011,Bgy,,,,R,1010,,1036,
0102802012,Ganagan,012802012,Bgy,,,,R,699,,701,
0102802013,Libtong,012802013,Bgy,,,,R,1587,,1620,
0102802014,Macupit,012802014,Bgy,,,,R,625,,647,
0102802015,Nambaran,012802015,Bgy,,,,R,982,,1004,
0102802016,Natba,012802016,Bgy,,,,R,530,,560,
0102802017,Paninaan,012802017,Bgy,,,,R,440,,435,
0102802018,Pasiocan,012802018,Bgy,,,,R,1162,,1209,
0102802019,Pasngal,012802019,Bgy,,,,R,760,,799,
0102802020,Pipias,012802020,Bgy,,,,R,1049,,1047,
0102802021,Pulangi,012802021,Bgy,,,,R,1082,,1091,
0102802022,Pungto,012802022,Bgy,,,,R,571,,554,
0102802024,San Agustin I ,012802024,Bgy,,,,R,546,,544,
0102802025,San Agustin II ,012802025,Bgy,,,,R,274,,281,
0102802027,San Andres I ,012802027,Bgy,,,,R,782,,796,
0102802028,San Andres II ,012802028,Bgy,,,,R,694,,724,
0102802030,San Gabriel I ,012802030,Bgy,,,,R,269,,294,
0102802031,San Gabriel II ,012802031,Bgy,,,,R,390,,406,
0102802033,San Pedro I ,012802033,Bgy,,,,R,385,,393,
0102802034,San Pedro II ,012802034,Bgy,,,,R,597,,585,
0102802036,San Roque I ,012802036,Bgy,,,,R,524,,530,
0102802037,San Roque II ,012802037,Bgy,,,,R,352,,399,
0102802039,San Simon I ,012802039,Bgy,,,,R,626,,637,
0102802040,San Simon II ,012802040,Bgy,,,,R,333,,341,
0102802041,San Vicente ,012802041,Bgy,,,,R,649,,723,
0102802042,Sangil,012802042,Bgy,,,,R,1031,,1097,
0102802044,Santa Filomena I ,012802044,Bgy,,,,R,264,,276,
0102802045,Santa Filomena II ,012802045,Bgy,,,,R,342,,344,
0102802046,Santa Rita ,012802046,Bgy,,,,R,1104,,1119,
0102802047,Santo Cristo I ,012802047,Bgy,,,,R,409,,422,
0102802048,Santo Cristo II ,012802048,Bgy,,,,R,420,,459,
0102802050,Tambidao,012802050,Bgy,,,,R,775,,813,
0102802051,Teppang,012802051,Bgy,,,,R,643,,706,
0102802052,Tubburan,012802052,Bgy,,,,R,855,,868,
0102803000,Badoc,012803000,Mun,,,3rd,,31616,,32530,
0102803001,Alay-Nangbabaan,012803001,Bgy,Alay 15-B,,,R,1079,,1090,
0102803002,Alogoog,012803002,Bgy,,,,R,936,,974,
0102803003,Ar-arusip,012803003,Bgy,,,,R,799,,808,
0102803004,Aring,012803004,Bgy,,,,R,1351,,1362,
0102803005,Balbaldez,012803005,Bgy,,,,R,320,,302,
0102803006,Bato,012803006,Bgy,,,,R,979,,996,
0102803007,Camanga,012803007,Bgy,,,,R,1126,,1213,
0102803008,Canaan ,012803008,Bgy,,,,R,573,,603,
0102803009,Caraitan,012803009,Bgy,,,,R,1370,,1391,
0102803011,Gabut Norte,012803011,Bgy,,,,R,1536,,1680,
0102803012,Gabut Sur,012803012,Bgy,,,,R,1011,,894,
0102803013,Garreta ,012803013,Bgy,,,,U,1376,,1383,
0102803016,Labut,012803016,Bgy,,,,R,765,,848,
0102803017,Lacuben,012803017,Bgy,,,,R,1422,,1703,
0102803018,Lubigan,012803018,Bgy,,,,R,1260,,1381,
0102803020,Mabusag Norte,012803020,Bgy,,,,R,1130,,1125,
0102803021,Mabusag Sur,012803021,Bgy,,,,R,1133,,1135,
0102803022,Madupayas,012803022,Bgy,,,,R,861,,848,
0102803023,Morong,012803023,Bgy,,,,R,854,,892,
0102803025,Nagrebcan,012803025,Bgy,,,,R,525,,528,
0102803026,Napu,012803026,Bgy,,,,R,1488,,1514,
0102803027,La Virgen Milagrosa,012803027,Bgy,Paguetpet,,,R,1080,,1095,
0102803028,Pagsanahan Norte,012803028,Bgy,,,,R,1180,,1170,
0102803029,Pagsanahan Sur,012803029,Bgy,,,,R,1337,,1412,
0102803030,Paltit,012803030,Bgy,,,,R,1617,,1589,
0102803031,Parang,012803031,Bgy,,,,R,427,,438,
0102803032,Pasuc,012803032,Bgy,,,,R,428,,505,
0102803034,Santa Cruz Norte,012803034,Bgy,,,,R,958,,916,
0102803035,Santa Cruz Sur,012803035,Bgy,,,,R,689,,702,
0102803036,Saud,012803036,Bgy,,,,R,1244,,1325,
0102803037,Turod,012803037,Bgy,,,,R,762,,708,
0102804000,Bangui,012804000,Mun,,,4th,,14672,,15019,
0102804001,Abaca,012804001,Bgy,,,,R,1729,,1842,
0102804002,Bacsil,012804002,Bgy,,,,R,725,,683,
0102804003,Banban,012804003,Bgy,,,,R,740,,777,
0102804004,Baruyen,012804004,Bgy,,,,R,1541,,1742,
0102804005,Dadaor,012804005,Bgy,,,,R,426,,405,
0102804006,Lanao,012804006,Bgy,,,,R,1958,,2017,
0102804007,Malasin,012804007,Bgy,,,,R,1000,,1028,
0102804008,Manayon,012804008,Bgy,,,,R,1092,,997,
0102804009,Masikil,012804009,Bgy,,,,R,629,,649,
0102804010,Nagbalagan,012804010,Bgy,,,,R,701,,707,
0102804011,Payac,012804011,Bgy,,,,R,758,,781,
0102804012,San Lorenzo ,012804012,Bgy,,,,R,2176,,2261,
0102804014,Taguiporo,012804014,Bgy,,,,R,547,,491,
0102804015,Utol,012804015,Bgy,,,,R,650,,639,
0102805000,City of Batac,012805000,City,,CC,5th,,55201,,55484,
0102805001,Aglipay ,012805001,Bgy,,,,R,1412,,1059,
0102805002,Baay,012805002,Bgy,,,,R,3075,,3241,
0102805003,Baligat,012805003,Bgy,,,,R,1907,,1923,
0102805004,Bungon,012805004,Bgy,,,,R,1520,,1546,
0102805005,Baoa East,012805005,Bgy,,,,R,756,,747,
0102805006,Baoa West,012805006,Bgy,,,,R,1218,,1404,
0102805007,Barani ,012805007,Bgy,,,,R,659,,636,
0102805009,Ben-agan ,012805009,Bgy,,,,R,659,,714,
0102805010,Bil-loca,012805010,Bgy,,,,R,2866,,2780,
0102805011,Biningan,012805011,Bgy,,,,R,445,,468,
0102805012,Callaguip ,012805012,Bgy,,,,U,900,,832,
0102805013,Camandingan,012805013,Bgy,,,,R,1499,,1506,
0102805014,Camguidan,012805014,Bgy,,,,R,535,,522,
0102805015,Cangrunaan ,012805015,Bgy,,,,R,961,,721,
0102805016,Capacuan,012805016,Bgy,,,,R,753,,727,
0102805017,Caunayan ,012805017,Bgy,,,,U,1175,,1105,
0102805018,Valdez Pob.,012805018,Bgy,Caoayan,,,R,945,,808,
0102805019,Colo,012805019,Bgy,,,,R,1360,,1432,
0102805020,Pimentel,012805020,Bgy,Cubol,,,R,1232,,1166,
0102805021,Dariwdiw,012805021,Bgy,,,,R,1883,,2053,
0102805022,Acosta Pob.,012805022,Bgy,Iloilo,,,R,1205,,1058,
0102805023,Ablan Pob.,012805023,Bgy, Labucao,,,R,647,,740,
0102805024,Lacub ,012805024,Bgy,,,,U,502,,422,
0102805025,Mabaleng,012805025,Bgy,,,,R,1158,,1162,
0102805026,Magnuang,012805026,Bgy,,,,R,2145,,2196,
0102805027,Maipalig,012805027,Bgy,,,,R,566,,456,
0102805028,Nagbacalan,012805028,Bgy,,,,R,1109,,1085,
0102805029,Naguirangan,012805029,Bgy,,,,R,1276,,1615,
0102805030,Ricarte Pob.,012805030,Bgy,Nalasin,,,U,818,,765,
0102805031,Palongpong,012805031,Bgy,,,,R,1729,,1867,
0102805032,Palpalicong ,012805032,Bgy,,,,R,827,,828,
0102805033,Parangopong,012805033,Bgy,,,,R,1292,,1253,
0102805034,Payao,012805034,Bgy,,,,R,1384,,1457,
0102805035,Quiling Norte,012805035,Bgy,,,,R,1330,,1528,
0102805036,Quiling Sur,012805036,Bgy,,,,R,2838,,3267,
0102805037,Quiom,012805037,Bgy,,,,R,970,,884,
0102805038,Rayuray,012805038,Bgy,,,,R,995,,1062,
0102805039,San Julian ,012805039,Bgy,,,,R,543,,465,
0102805040,San Mateo,012805040,Bgy,,,,R,1111,,1135,
0102805041,San Pedro,012805041,Bgy,,,,R,1038,,898,
0102805042,Suabit ,012805042,Bgy,,,,U,1228,,1209,
0102805043,Sumader,012805043,Bgy,,,,R,1349,,1387,
0102805044,Tabug,012805044,Bgy,,,,R,3381,,3355,
0102806000,Burgos,012806000,Mun,,,5th,,9777,,10759,
0102806001,Ablan Sarat,012806001,Bgy,,,,R,1498,,1518,
0102806002,Agaga,012806002,Bgy,,,,R,484,,609,
0102806005,Bayog,012806005,Bgy,,,,R,721,,773,
0102806006,Bobon,012806006,Bgy,,,,R,1371,,1482,
0102806007,Buduan,012806007,Bgy,Malituek,,,R,781,,940,
0102806008,Nagsurot,012806008,Bgy,,,,R,768,,902,
0102806009,Paayas,012806009,Bgy,,,,R,711,,869,
0102806010,Pagali,012806010,Bgy,,,,R,655,,776,
0102806011,Poblacion,012806011,Bgy,,,,R,1531,,1468,
0102806013,Saoit,012806013,Bgy,,,,R,648,,739,
0102806014,Tanap,012806014,Bgy,,,,R,609,,683,
0102807000,Carasi,012807000,Mun,,,5th,,1567,,1607,
0102807001,Angset,012807001,Bgy,,,,R,171,,176,
0102807003,Barbaqueso ,012807003,Bgy,,,,R,783,,812,
0102807004,Virbira,012807004,Bgy,,,,R,613,,619,
0102808000,Currimao,012808000,Mun,,,4th,,12184,,12215,
0102808001,Anggapang Norte,012808001,Bgy,,,,R,279,,319,
0102808002,Anggapang Sur,012808002,Bgy,,,,R,156,,183,
0102808003,Bimmanga,012808003,Bgy,,,,R,411,,342,
0102808004,Cabuusan,012808004,Bgy,,,,R,354,,327,
0102808005,Comcomloong,012808005,Bgy,,,,R,129,,124,
0102808006,Gaang,012808006,Bgy,,,,R,1238,,1287,
0102808007,Lang-ayan-Baramban,012808007,Bgy,,,,R,574,,531,
0102808008,Lioes,012808008,Bgy,,,,R,477,,479,
0102808009,Maglaoi Centro,012808009,Bgy,,,,R,239,,229,
0102808010,Maglaoi Norte,012808010,Bgy,,,,R,671,,658,
0102808011,Maglaoi Sur,012808011,Bgy,,,,R,541,,543,
0102808013,Paguludan-Salindeg,012808013,Bgy,,,,R,319,,296,
0102808014,Pangil,012808014,Bgy,,,,R,601,,541,
0102808015,Pias Norte,012808015,Bgy,,,,R,887,,932,
0102808016,Pias Sur,012808016,Bgy,,,,R,723,,778,
0102808017,Poblacion I,012808017,Bgy,,,,R,744,,673,
0102808018,Poblacion II,012808018,Bgy,,,,R,611,,564,
0102808019,Salugan,012808019,Bgy,,,,R,471,,586,
0102808020,San Simeon,012808020,Bgy,,,,R,300,,284,
0102808021,Santa Cruz,012808021,Bgy,,,,R,293,,356,
0102808022,Tapao-Tigue,012808022,Bgy,,,,R,791,,874,
0102808023,Torre,012808023,Bgy,,,,R,429,,410,
0102808024,Victoria,012808024,Bgy,,,,R,946,,899,
0102809000,Dingras,012809000,Mun,,,2nd,,38562,,40127,
0102809001,Albano ,012809001,Bgy,,,,R,823,,871,
0102809002,Bacsil,012809002,Bgy,,,,R,837,,878,
0102809003,Bagut,012809003,Bgy,,,,R,972,,1062,
0102809004,Parado,012809004,Bgy,Bangay,,,R,1524,,1563,
0102809005,Baresbes,012809005,Bgy,,,,R,1998,,2036,
0102809006,Barong,012809006,Bgy,,,,R,2374,,2468,
0102809007,Bungcag,012809007,Bgy,,,,R,538,,578,
0102809009,Cali,012809009,Bgy,,,,R,1319,,1343,
0102809010,Capasan,012809010,Bgy,,,,R,697,,732,
0102809011,Dancel ,012809011,Bgy,,,,R,570,,654,
0102809012,Foz,012809012,Bgy,,,,R,874,,915,
0102809013,Guerrero ,012809013,Bgy,,,,R,1492,,1496,
0102809014,Lanas,012809014,Bgy,,,,R,905,,1062,
0102809015,Lumbad,012809015,Bgy,,,,R,1023,,1079,
0102809016,Madamba ,012809016,Bgy,,,,R,1984,,1961,
0102809017,Mandaloque,012809017,Bgy,,,,R,664,,647,
0102809018,Medina,012809018,Bgy,,,,R,1290,,1298,
0102809019,Ver,012809019,Bgy,Naglayaan,,,R,1175,,1223,
0102809020,San Marcelino,012809020,Bgy,Padong,,,R,3710,,4053,
0102809021,Puruganan ,012809021,Bgy,,,,R,880,,868,
0102809022,Peralta ,012809022,Bgy,,,,R,1331,,1340,
0102809023,Root,012809023,Bgy,Baldias,,,R,828,,807,
0102809024,Sagpatan,012809024,Bgy,,,,R,822,,846,
0102809025,Saludares,012809025,Bgy,,,,R,1469,,1473,
0102809026,San Esteban,012809026,Bgy,,,,R,828,,831,
0102809027,Espiritu,012809027,Bgy,,,,R,975,,1030,
0102809028,Sulquiano,012809028,Bgy,Sidiran,,,R,1458,,1478,
0102809029,San Francisco,012809029,Bgy,Surrate,,,R,2154,,2304,
0102809030,Suyo,012809030,Bgy,,,,U,1400,,1404,
0102809031,San Marcos,012809031,Bgy,,,,R,649,,741,
0102809032,Elizabeth,012809032,Bgy,,,,R,999,,1086,
0102810000,Dumalneg,012810000,Mun,,,5th,,2947,,3087,
0102810001,Cabaritan,012810001,Bgy,Dumalneg,,,R,1964,a/,448,
0102810002,San Isidro,012810002,Bgy,,,,R,983,,1026,
0102810003,Kalaw,012810003,Bgy,Dumalneg,,,R,-,,644,
0102810004,Quibel,012810004,Bgy,Dumalneg,,,R,-,,969,
0102811000,Banna,012811000,Mun,Espiritu,,4th,,19438,,19297,
0102811001,Balioeg,012811001,Bgy,,,,R,877,,844,
0102811002,Bangsar,012811002,Bgy,,,,R,901,,874,
0102811003,Barbarangay,012811003,Bgy,,,,R,782,,819,
0102811004,Bomitog,012811004,Bgy,,,,R,1314,,1276,
0102811005,Bugasi,012811005,Bgy,,,,R,938,,945,
0102811006,Caestebanan,012811006,Bgy,,,,R,1063,,836,
0102811008,Caribquib,012811008,Bgy,,,,R,980,,1055,
0102811009,Catagtaguen,012811009,Bgy,,,,R,1270,,1318,
0102811011,Crispina,012811011,Bgy,,,,R,984,,955,
0102811012,Hilario ,012811012,Bgy,,,,R,993,,951,
0102811013,Imelda,012811013,Bgy,,,,R,610,,613,
0102811014,Lorenzo ,012811014,Bgy,,,,R,794,,746,
0102811015,Macayepyep,012811015,Bgy,,,,R,1180,,1054,
0102811016,Marcos ,012811016,Bgy,,,,R,975,,1048,
0102811017,Nagpatayan,012811017,Bgy,,,,R,912,,902,
0102811018,Valdez,012811018,Bgy,,,,R,969,,1061,
0102811019,Sinamar,012811019,Bgy,,,,R,1198,,1205,
0102811020,Tabtabagan,012811020,Bgy,,,,R,1149,,1148,
0102811021,Valenciano ,012811021,Bgy,,,,R,725,,694,
0102811022,Binacag,012811022,Bgy,,,,R,824,,953,
0102812000,City of Laoag ,012812000,City,,CC,3rd,,111125,,111651,
0102812001,"Bgy. No. 42, Apaya",012812001,Bgy,,,,R,916,,953,
0102812002,"Bgy. No. 36, Araniw",012812002,Bgy,,,,R,873,,958,
0102812003,"Bgy. No. 56-A, Bacsil North",012812003,Bgy,,,,R,951,,893,
0102812004,"Bgy. No. 56-B, Bacsil South",012812004,Bgy,,,,R,1349,,1346,
0102812005,"Bgy. No. 41, Balacad",012812005,Bgy,,,,U,1422,,1595,
0102812006,"Bgy. No. 40, Balatong",012812006,Bgy,,,,U,2659,,2674,
0102812007,"Bgy. No. 55-A, Barit-Pandan",012812007,Bgy,,,,U,2233,,2311,
0102812008,"Bgy. No. 47, Bengcag",012812008,Bgy,,,,U,1874,,1916,
0102812009,"Bgy. No. 50, Buttong",012812009,Bgy,,,,U,3044,,2764,
0102812010,"Bgy. No. 60-A, Caaoacan",012812010,Bgy,,,,R,1430,,1331,
0102812011,"Bry. No. 48-A, Cabungaan North",012812011,Bgy,,,,R,1788,,2058,
0102812012,"Bgy. No. 48-B, Cabungaan South",012812012,Bgy,,,,R,1239,,1296,
0102812013,"Bgy. No. 37, Calayab",012812013,Bgy,,,,U,2081,,2103,
0102812014,"Bgy. No. 54-B, Camangaan",012812014,Bgy,,,,R,1005,,1006,
0102812015,"Bgy. No. 58, Casili",012812015,Bgy,,,,R,964,,993,
0102812016,"Bgy. No. 61, Cataban",012812016,Bgy,,,,R,766,,766,
0102812017,"Bgy. No. 43, Cavit",012812017,Bgy,,,,R,1086,,1140,
0102812019,"Bgy. No. 49-A, Darayday",012812019,Bgy,,,,R,976,,960,
0102812020,"Bgy. No. 59-B, Dibua North",012812020,Bgy,,,,R,865,,881,
0102812021,"Bgy. No. 59-A, Dibua South",012812021,Bgy,,,,R,1100,,1105,
0102812022,"Bgy. No. 34-B, Gabu Norte East",012812022,Bgy,,,,R,1230,,1321,
0102812023,"Bgy. No. 34-A, Gabu Norte West",012812023,Bgy,,,,R,777,,581,
0102812024,"Bgy. No. 35, Gabu Sur",012812024,Bgy,,,,R,1778,,1815,
0102812026,Bgy. No. 32-C La Paz East,012812026,Bgy,,,,R,1693,,1499,
0102812027,"Bgy. No. 33-B, La Paz Proper",012812027,Bgy,,,,R,1052,,1127,
0102812028,"Bgy. No. 32-B, La Paz West",012812028,Bgy,,,,R,1065,,1099,
0102812029,"Bgy. No. 54-A, Lagui-Sail",012812029,Bgy,,,,R,2372,,2367,
0102812030,"Bgy. No. 32-A, La Paz East",012812030,Bgy,,,,R,1433,,1395,
0102812031,"Bgy. No. 33-A, La Paz Proper",012812031,Bgy,,,,R,1113,,1195,
0102812032,"Bgy. No. 52-B, Lataag",012812032,Bgy,,,,R,876,,873,
0102812033,"Bgy. No. 60-B, Madiladig",012812033,Bgy,,,,R,1469,,1653,
0102812034,"Bgy. No. 38-A, Mangato East",012812034,Bgy,,,,R,1040,,1174,
0102812035,"Bgy. No. 38-B, Mangato West",012812035,Bgy,,,,R,1188,,1226,
0102812036,"Bgy. No. 62-A, Navotas North",012812036,Bgy,,,,R,796,,854,
0102812037,"Bgy. No. 62-B, Navotas South",012812037,Bgy,,,,R,912,,1021,
0102812038,"Bgy. No. 46, Nalbo",012812038,Bgy,,,,U,2401,,2484,
0102812039,"Bgy. No. 51-A, Nangalisan East",012812039,Bgy,,,,U,1510,,1713,
0102812040,"Bgy. No. 51-B, Nangalisan West",012812040,Bgy,,,,R,814,,785,
0102812041,"Bgy. No. 24, Nstra. Sra. De Consolacion ",012812041,Bgy,,,,R,1054,,1074,
0102812042,"Bgy. No. 7-A, Nstra. Sra. De Natividad ",012812042,Bgy,,,,R,1131,,913,
0102812043,"Bgy. No. 7-B, Nstra. Sra. De Natividad ",012812043,Bgy,,,,R,968,,827,
0102812044,"Bgy. No. 27, Nstra. Sra. De Soledad ",012812044,Bgy,,,,R,1618,,1660,
0102812045,"Bgy. No. 13, Nstra. Sra. De Visitacion ",012812045,Bgy,,,,U,1443,,1460,
0102812046,"Bgy. No. 3, Nstra. Sra. Del Rosario ",012812046,Bgy,,,,R,1189,,1011,
0102812047,"Bgy. No. 57, Pila",012812047,Bgy,,,,R,1866,,1960,
0102812048,"Bgy. No. 49-B, Raraburan",012812048,Bgy,,,,R,1658,,1631,
0102812049,"Bgy. No. 53, Rioeng",012812049,Bgy,,,,U,1616,,1678,
0102812050,"Bgy. No. 55-B, Salet-Bulangon",012812050,Bgy,,,,R,2521,,2626,
0102812053,"Bgy. No. 6, San Agustin ",012812053,Bgy,,,,U,1371,,1267,
0102812054,"Bgy. No. 22, San Andres ",012812054,Bgy,,,,R,1065,,1063,
0102812055,"Bgy. No. 28, San Bernardo ",012812055,Bgy,,,,R,1758,,1549,
0102812056,"Bgy. No. 17, San Francisco ",012812056,Bgy,,,,U,708,,719,
0102812057,"Bgy. No. 4, San Guillermo ",012812057,Bgy,,,,R,1256,,1190,
0102812058,"Bgy. No. 15, San Guillermo ",012812058,Bgy,,,,U,1098,,1039,
0102812059,"Bgy. No. 12, San Isidro ",012812059,Bgy,,,,U,1607,,1890,
0102812060,"Bgy. No. 16, San Jacinto ",012812060,Bgy,,,,U,1060,,1026,
0102812061,"Bgy. No. 10, San Jose ",012812061,Bgy,,,,U,1005,,970,
0102812062,"Bgy. No. 1, San Lorenzo ",012812062,Bgy,,,,U,4733,,5458,
0102812063,"Bgy. No. 26, San Marcelino ",012812063,Bgy,,,,R,963,,856,
0102812064,"Bgy. No. 52-A, San Mateo",012812064,Bgy,,,,R,629,,582,
0102812065,"Bgy. No. 23, San Matias ",012812065,Bgy,,,,U,2857,,3014,
0102812066,"Bgy. No. 20, San Miguel ",012812066,Bgy,,,,R,1029,,955,
0102812067,"Bgy. No. 21, San Pedro ",012812067,Bgy,,,,R,1349,,1262,
0102812068,"Bgy. No. 5, San Pedro ",012812068,Bgy,,,,R,1723,,1383,
0102812069,"Bry. No. 18, San Quirino ",012812069,Bgy,,,,R,723,,732,
0102812070,"Bgy. No. 8, San Vicente ",012812070,Bgy,,,,U,1042,,878,
0102812071,"Bgy. No. 9, Santa Angela ",012812071,Bgy,,,,U,802,,598,
0102812072,"Bgy. No. 11, Santa Balbina ",012812072,Bgy,,,,U,1365,,881,
0102812073,"Bgy. No. 25, Santa Cayetana ",012812073,Bgy,,,,R,1201,,1144,
0102812074,"Bgy. No. 2, Santa Joaquina ",012812074,Bgy,,,,U,2568,,2501,
0102812075,"Bgy. No. 19, Santa Marcela ",012812075,Bgy,,,,U,1144,,885,
0102812076,"Bgy. No. 30-B, Santa Maria",012812076,Bgy,,,,R,1516,,1571,
0102812077,"Bgy. No. 39, Santa Rosa",012812077,Bgy,,,,R,789,,792,
0102812078,"Bgy. No. 14, Santo Tomas ",012812078,Bgy,,,,U,1147,,1041,
0102812079,"Bgy. No. 29, Santo Tomas ",012812079,Bgy,,,,R,1330,,1458,
0102812080,"Bgy. No. 30-A, Suyo",012812080,Bgy,,,,R,762,,708,
0102812081,"Bgy. No. 31, Talingaan",012812081,Bgy,,,,R,1616,,1626,
0102812082,"Bgy. No. 45, Tangid",012812082,Bgy,,,,R,997,,1061,
0102812083,"Bgy. No. 55-C, Vira",012812083,Bgy,,,,R,1377,,1460,
0102812084,"Bgy. No. 44, Zamboanga",012812084,Bgy,,,,R,1331,,2021,
0102813000,Marcos,012813000,Mun,,,4th,,17777,,18010,
0102813001,Pacifico,012813001,Bgy,Agunit,,,R,1755,,1843,
0102813003,Imelda,012813003,Bgy,Capariaan,,,R,865,,874,
0102813004,Elizabeth,012813004,Bgy,Culao,,,R,1288,,1307,
0102813005,Daquioag,012813005,Bgy,,,,R,1726,,1768,
0102813006,Escoda,012813006,Bgy,,,,R,2068,,2064,
0102813007,Ferdinand,012813007,Bgy,,,,R,945,,965,
0102813008,Fortuna,012813008,Bgy,,,,R,1127,,1111,
0102813009,Lydia ,012813009,Bgy,,,,R,2270,,2264,
0102813010,Mabuti,012813010,Bgy,,,,R,1122,,1121,
0102813011,Valdez,012813011,Bgy,Biding,,,R,1096,,1083,
0102813012,Tabucbuc,012813012,Bgy,Ragas,,,R,1716,,1692,
0102813013,Santiago,012813013,Bgy,,,,R,1410,,1510,
0102813014,Cacafean,012813014,Bgy,,,,R,389,,408,
0102814000,Nueva Era,012814000,Mun,,,3rd,,9506,,11968,
0102814001,Acnam,012814001,Bgy,,,,R,609,,767,
0102814002,Barangobong,012814002,Bgy,,,,R,370,,443,
0102814003,Barikir,012814003,Bgy,,,,R,527,,681,
0102814004,Bugayong,012814004,Bgy,,,,R,723,,940,
0102814005,Cabittauran,012814005,Bgy,,,,R,1000,,1075,
0102814006,Caray,012814006,Bgy,,,,R,763,,824,
0102814007,Garnaden,012814007,Bgy,,,,R,616,,711,
0102814008,Naguillan,012814008,Bgy,Pagpag-ong,,,R,888,,1043,
0102814009,Poblacion,012814009,Bgy,,,,R,2196,,3206,
0102814010,Santo Niño,012814010,Bgy,,,,R,962,,1184,
0102814011,Uguis,012814011,Bgy,,,,R,852,,1094,
0102815000,Pagudpud,012815000,Mun,,,4th,,23770,,25098,
0102815001,Aggasi,012815001,Bgy,,,,R,667,,725,
0102815003,Baduang,012815003,Bgy,,,,R,1103,,1131,
0102815004,Balaoi,012815004,Bgy,,,,U,1934,,1980,
0102815005,Burayoc,012815005,Bgy,,,,R,1509,,1461,
0102815006,Caunayan,012815006,Bgy,,,,R,1382,,1529,
0102815007,Dampig,012815007,Bgy,,,,R,1015,,1025,
0102815008,Ligaya,012815008,Bgy,,,,R,997,,1057,
0102815010,Pancian,012815010,Bgy,,,,R,2205,,2398,
0102815011,Pasaleng,012815011,Bgy,,,,R,1727,,1793,
0102815012,Poblacion 1,012815012,Bgy,,,,R,2536,,2669,
0102815013,Poblacion 2,012815013,Bgy,,,,U,2942,,3258,
0102815014,Saguigui,012815014,Bgy,,,,R,872,,903,
0102815015,Saud,012815015,Bgy,,,,R,1551,,1467,
0102815016,Subec,012815016,Bgy,,,,R,1557,,1832,
0102815017,Tarrag,012815017,Bgy,,,,R,934,,940,
0102815018,Caparispisan,012815018,Bgy,,,,R,839,,930,
0102816000,Paoay,012816000,Mun,,,4th,,24866,,25001,
0102816001,Bacsil,012816001,Bgy,,,,R,665,,703,
0102816002,Cabagoan,012816002,Bgy,,,,R,547,,453,
0102816003,Cabangaran,012816003,Bgy,,,,R,407,,375,
0102816004,Callaguip,012816004,Bgy,,,,R,1970,,2019,
0102816005,Cayubog,012816005,Bgy,,,,R,508,,590,
0102816006,Dolores,012816006,Bgy,,,,R,514,,419,
0102816007,Laoa,012816007,Bgy,,,,R,344,,355,
0102816008,Masintoc,012816008,Bgy,,,,R,631,,654,
0102816009,Monte,012816009,Bgy,,,,R,693,,737,
0102816010,Mumulaan,012816010,Bgy,,,,R,768,,873,
0102816011,Nagbacalan,012816011,Bgy,,,,R,3008,,3194,
0102816012,Nalasin,012816012,Bgy,,,,R,1286,,1378,
0102816013,Nanguyudan,012816013,Bgy,,,,R,669,,602,
0102816014,Oaig-Upay-Abulao,012816014,Bgy,,,,R,641,,744,
0102816015,Pambaran,012816015,Bgy,,,,R,237,,189,
0102816016,Pannaratan ,012816016,Bgy,,,,R,236,,241,
0102816017,Paratong,012816017,Bgy,,,,R,1118,,1115,
0102816018,Pasil,012816018,Bgy,,,,R,1031,,1039,
0102816019,Salbang ,012816019,Bgy,,,,R,689,,714,
0102816020,San Agustin,012816020,Bgy,,,,R,1008,,1029,
0102816021,San Blas ,012816021,Bgy,,,,R,249,,234,
0102816022,San Juan,012816022,Bgy,,,,R,267,,222,
0102816025,San Pedro,012816025,Bgy,,,,R,647,,592,
0102816028,San Roque ,012816028,Bgy,,,,R,1195,,1101,
0102816029,Sangladan Pob.,012816029,Bgy,Nalbuan,,,R,427,,383,
0102816030,Santa Rita ,012816030,Bgy,,,,R,706,,838,
0102816031,Sideg,012816031,Bgy,,,,R,459,,459,
0102816032,Suba,012816032,Bgy,,,,U,1579,,1512,
0102816033,Sungadan,012816033,Bgy,,,,R,1309,,1181,
0102816034,Surgui,012816034,Bgy,,,,R,794,,805,
0102816035,Veronica,012816035,Bgy,,,,R,264,,251,
